hood_cd,COD_2010-2015,COD_2016-2025,PRB_slope_2010-2015,PRB_slope_2016-2025,PRD_2010-2015,PRD_2016-2025,median_ratio_2010-2015,median_ratio_2016-2025,n_2010-2015,n_2016-2025,PRD_delta,COD_delta,Slope_delta,n_total
61000,25.74239208825154,24.418552152751484,-0.2824553605350668,-0.1252788614915658,1.445566216207791,1.1234472154610509,0.6661382333778447,0.7917141905286611,67.0,125.0,-0.32211900074674005,-1.3238399355000539,0.157176499043501,192.0
14081,13.214975837598336,8.586708011252933,-0.3861613066025062,-0.20277115414100788,1.1571579943391874,1.0244548785435947,0.9574700558363917,1.0079788683108764,54.0,147.0,-0.13270311579559269,-4.628267826345404,0.1833901524614983,201.0
63000,18.30883244903308,17.44050328060625,-0.10763618667420825,-0.12271030783669067,1.2492954138178836,1.1300101564806988,0.6211162074903387,0.7498049554718875,79.0,143.0,-0.11928525733718476,-0.8683291684268291,-0.015074121162482412,222.0
16171,6.459995928432835,6.067448352756373,-0.7723700851059029,-0.1786466085487882,1.0833892329359152,1.00702075609088,0.7652743381380066,0.9441764938560093,75.0,196.0,-0.07636847684503523,-0.3925475756764616,0.5937234765571147,271.0
12071,12.325078767270675,6.682220436348775,-0.39201512153721463,-0.13477255924633263,1.0771073441007846,1.009936003289323,1.128993734888483,1.024229781464618,62.0,218.0,-0.06717134081146159,-5.6428583309219,0.257242562290882,280.0
13181,11.141578561823499,6.074619390999846,-0.44902992574971196,-0.1448995173436414,1.0730430821433314,1.0093633410520995,0.8381434789566429,0.972901609307459,92.0,245.0,-0.06367974109123198,-5.066959170823653,0.30413040840607053,337.0
15191,9.055873958458054,4.930082694259088,-0.6826578888984904,-0.2662582571345055,1.0632761452745039,1.0086901095378844,0.8343496843944662,0.9779453981581047,140.0,573.0,-0.054586035736619465,-4.125791264198966,0.4163996317639849,713.0
11081,7.965275036338589,6.067512760633211,-0.45910390167776804,-0.14448381250680056,1.0639005200663592,1.0101261143821763,0.8677739245991685,1.000495163096832,72.0,125.0,-0.0537744056841829,-1.8977622757053778,0.3146200891709675,197.0
13101,7.898270492172122,4.432156130376168,-0.30942668867506173,-0.018556428998081433,1.0362187381931454,1.0025593964339015,0.8840088625147356,0.9965270269467331,95.0,315.0,-0.0336593417592439,-3.4661143617959542,0.2908702596769803,410.0
15192,7.48618032175281,4.9162266145778,-0.5138542661685789,-0.1900814493123494,1.0417109361898589,1.0091437432528132,0.8376992015266033,1.0137474188617754,75.0,170.0,-0.032567192937045686,-2.56995370717501,0.3237728168562295,245.0
12060,9.448319731845608,6.8218065480427414,-0.31207090011937644,0.047096547352439296,1.0264942011043343,0.9973307605646314,1.0777300509062198,1.0210779070126663,164.0,383.0,-0.02916344053970288,-2.6265131838028664,0.3591674474718157,547.0
16041,9.903839872549547,7.553421386051282,-0.5642641423288255,-0.11485523309105704,1.0285023994192422,1.002287792301407,0.7784789597798603,0.7681394752094698,66.0,222.0,-0.026214607117835076,-2.350418486498265,0.44940890923776844,288.0
16091,12.4922644957627,10.795727053074911,-0.4357483791337639,-0.23585783237389776,1.0333820865410916,1.011293779509043,0.9024907002151825,0.8499329134291937,128.0,424.0,-0.02208830703204856,-1.6965374426877897,0.19989054675986614,552.0
16031,12.877448538148585,10.115916873542368,-0.26651929165463006,-0.1752411758806737,1.0338525247859114,1.0122909848075636,0.7564668878919354,0.8148957968264117,75.0,144.0,-0.021561539978347755,-2.761531664606217,0.09127811577395636,219.0
16111,10.568035675216134,10.011660741471028,-0.35732446785317257,-0.26050891164059703,1.0338840096679645,1.0143648482709338,0.9385473985406015,0.8522340728711948,95.0,279.0,-0.019519161397030693,-0.556374933745106,0.09681555621257554,374.0
