year,n,median_ratio,cod,prd,prb_slope,prb_pvalue,prb_r2,mean_ratio
2010,1030,1.97,16.513232467596474,1.0922431609494783,-0.3304825007748863,6.243955304709746e-69,0.25893077439467527,1.9620097087378643
2011,936,2.005,14.848029498902319,1.2267656363568618,-0.2388966159089033,3.694162054806521e-61,0.25295203170890074,1.967361111111111
2012,1149,2.0,17.354221061792863,1.2770808392736515,-0.3261079629532031,6.990604655347412e-93,0.3054533114790548,1.9478503046127067
2013,1444,1.97,14.699368646033998,1.1839090893112876,-0.2483269973959956,5.67471721850682e-95,0.25663413261041834,1.9650346260387812
2014,1526,1.9249999999999998,17.001582951779547,1.1421845139843763,-0.27453685552887913,1.0834646391147936e-65,0.17497668704534994,1.890439056356488
2015,2002,1.85,15.455355455355454,1.1474403463851663,-0.23965193773065196,1.3743615620489748e-98,0.1991757487846665,1.8312487512487512
2016,2201,1.72,13.5717908350327,1.0660403547911539,-0.17489396388470468,4.756370641969199e-86,0.1612196871606119,1.728228078146297
2017,2338,1.5750000000000002,13.984819476692872,1.0606383482786006,-0.1583560785152827,5.636911620451498e-84,0.14906140912901164,1.606770744225834
2018,2449,1.45,12.32705819405528,1.0316142959703396,-0.11967390514863291,1.6523090243954967e-51,0.08897222036050714,1.4785912617394854
2019,2351,1.36,10.791715665423972,1.0294955492183704,-0.09788444579741558,6.337271574786037e-44,0.07897582328121516,1.3699829859634198
2020,2869,1.26,11.267683557680073,1.028669902140474,-0.11615990358995434,7.282520672630957e-55,0.08139361511492464,1.2624677588009758
2021,2532,1.08,13.112529986542626,1.049054402746461,-0.11403621859876818,1.4927247757583126e-42,0.07123279810514258,1.091812796208531
2022,2351,0.95,10.746602789406523,1.0104320954022554,-0.0363408030201408,3.8032988823418037e-06,0.009054567974066289,0.9528923862186304
2023,2168,0.95,7.823363759953389,1.0003653543956126,0.014546017951273579,0.06358315036788244,0.001587915742781758,0.9369142066420665
2024,2768,0.94,6.871079817980568,1.0079544895501389,-0.012944019366090583,0.0198477532952559,0.0019598328278583907,0.9265390173410404
2025,3070,0.91,12.311271790099152,1.0494205924137947,-0.057008873154259135,4.4583370506905605e-10,0.012601612831768427,0.8770228013029316
