year,benton_county_regular_levy,benton_total_levy_all_districts,cpi,regular_levy_real_2025$,total_levy_real_2025$,regular_real_index_2016=100,total_real_index_2016=100
2010,23402631,154117249,226.74566666666666,37413920.63257776,246388131.4112599,94.48957978456693,88.92992536270509
2011,24001941,160867580,233.09733333333335,37326441.65122838,250172031.4388038,94.26864992616318,90.29566463391919
2012,24481604,167650427,238.79600000000002,37163820.40469019,254498453.60612905,93.85794682449314,91.85721874865689
2013,25418599,175482586,241.6916666666667,38123912.57481115,263196361.3362711,96.28267815912345,94.99659190280502
2014,26383045,184404681,246.18616666666665,38848012.415869564,271528754.05520725,98.11140630487422,98.00403815576959
2015,27036421,190254777,249.59366666666665,39266588.486880414,276318231.47458017,99.16852826346553,99.73272478930006
2016,27881384,195090841,255.254,39595816.5100112,277058740.8078369,100.0,100.0
2017,28786254,200986371,263.1091666666667,39660364.90746261,276909694.9984066,100.16301822551151,99.94620425654296
2018,29618353,233841792,271.4096666666667,39558801.449563205,312323275.3805742,99.90651774932172,112.72817976069422
2019,30303447,217592230,278.18149999999997,39488562.021993555,283545441.8719721,99.72912671723658,102.3412728453257
2020,31043022,251946038,282.7455,39799335.64916577,323012525.3862035,100.51399152004635,116.58629662589833
2021,32051498,253948942,296.875,39136522.79377112,310084681.7530045,98.84004484129287,111.92019455833513
2022,33389240,266503727,323.45283333333333,37419941.63282127,298675678.43021685,94.5047859370704,107.80229404037213
2023,34517293,248406102,341.7718333333334,36610696.62630516,263471426.92925012,92.46102203006397,95.09587250740785
2024,35613092,296870398,353.8923333333333,36479263.29221562,304090793.6976335,92.1290846041586,109.75679482660523
2025,36390962,313529041,362.4996,36390962.0,313529041.0,91.90607798376654,113.16338191887556
