year,cpi_index_2016=100,cap1_index_2016=100,cap3_index_2016=100,cap1_real_index_2016=100,cap3_real_index_2016=100
2016,100.0,100.0,100.0,100.0,100.0
2017,103.0773921923522,101.0,103.0,97.98462868707854,99.92491836405038
2018,106.32925112502318,102.01,106.08999999999999,95.93785239778981,99.77499030371061
2019,108.98222946555197,103.03010000000002,109.2727,94.53844035422918,100.26653018191361
2020,110.77025237606463,104.060401,112.55088100000002,93.94255115237553,101.60749712647593
2021,116.30571900930053,105.10100501000001,115.92740743,90.3661538789812,99.6747265890938
2022,126.71802727218117,106.15201506010001,119.40522965290002,83.77025538133825,94.22907870592572
2023,133.89480021207635,107.21353521070101,122.98738654248702,80.07296402913721,91.85374364627077
2024,138.64320768071542,108.28567056280802,126.67700813876164,78.10384105666506,91.36906903545464
2025,142.01524755733504,109.36852726843608,130.4773183829245,77.01182031477383,91.8755701427395
